protein,cluster,table,tissue
LOC_Os08g02120.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os06g35540.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os05g46580.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os09g32540.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os10g05069.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g41630.2,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g16950.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g53860.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g18410.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os08g04250.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os05g04380.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g52700.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os05g13970.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g53860.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g16960.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os10g21670.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g12510.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os04g51340.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os01g65830.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g37590.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os04g55650.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os05g03190.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os11g10510.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os01g24030.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os01g50160.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os08g40690.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os08g33710.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os01g06560.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g11930.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os12g35610.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g56700.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os05g09440.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g52860.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os12g16010.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os09g28420.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g25280.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os06g04940.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os02g49720.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os01g24710.2,Cluster_2,S2B_229mRNAs,embryo
LOC_Os06g13650.2,Cluster_2,S2B_229mRNAs,embryo
LOC_Os04g35520.2,Cluster_2,S2B_229mRNAs,embryo
LOC_Os01g41610.2,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g53650.1,Cluster_2,S2B_229mRNAs,embryo
LOC_Os10g37240.4,Cluster_2,S2B_229mRNAs,embryo
LOC_Os10g41930.6,Cluster_2,S2B_229mRNAs,embryo
LOC_Os04g01300.2,Cluster_2,S2B_229mRNAs,embryo
LOC_Os03g25270.3,Cluster_2,S2B_229mRNAs,embryo
LOC_Os01g60190.2,Cluster_2,S2B_229mRNAs,embryo
LOC_Os01g24690.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os07g42950.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g57540.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g39920.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g13530.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os05g24550.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g11240.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os05g22970.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os11g43900.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os09g12650.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g01700.1,Cluster_3,S2B_229mRNAs,embryo
