protein,cluster,table,tissue
LOC_Os08g40250.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os12g08170.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os01g59740.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os02g44520.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os08g42560.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os09g27420.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os04g32650.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os09g02700.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os04g36700.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os04g55720.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os02g01010.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os04g38900.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os04g58580.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os11g14950.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os05g45950.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os05g05470.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os02g55140.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os01g08200.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os07g28480.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os12g13320.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os09g27830.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os06g01500.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os10g08550.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os01g49190.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os02g42290,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os01g03070.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os02g38200.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os03g53230.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os08g18110.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os12g13390.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os08g03520.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os04g44560.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os03g12230.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os03g19890.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os12g30540.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os06g15990.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os03g18220.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os05g23740.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os03g59050.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os08g03410.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os01g07810.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os03g50480.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os02g10260.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os04g52110.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os12g38900.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os03g16440.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os11g34350.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os01g65380.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os09g07510.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os02g53420.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os11g38670.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os02g54340.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os07g46370.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os01g57450.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os02g46130.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os03g08450.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os02g37862.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os04g32330.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os01g46380.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os03g57960.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os02g02410.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os09g33986.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os06g22060.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os10g25130.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os04g20220.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os06g27910.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os09g38030.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os04g01590.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os04g46960.1,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os06g48750,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os05g38150,Cluster_11,S2H_96mRNAs,endosperm
LOC_Os08g25734,Cluster_11,S2H_96mRNAs,endosperm
