time,mean_germ,sd_germ,mean_total,mean_percentage,sd_percentage
t00,0,0,26.4285714285714,0,0
t04,0,0,33,0,0
t08,1.33333333333333,0.516397779494322,29.1666666666667,4.57142857142857,1.77050667255196
t12,5,3.46410161513775,31.3333333333333,15.9574468085106,11.0556434525673
t16,14.1428571428571,6.86606562325595,26.7142857142857,52.9411764705882,25.7018499266266
t24,25.4285714285714,5.06152621439894,28.5714285714286,89,17.7153417503963
t32,25,0,25,100,0
t40,25,0,25,100,0
t48,25,0,25,100,0
