"probe","PC1","absPC1","locus","annotation"
"Os.11689.1.S1_at",-0.00953968299578769,0.00953968299578769,"LOC_Os01g34330","BAH domain containing protein, expressed"
"Os.8799.1.S1_at",0.00952903082769863,0.00952903082769863,"LOC_Os02g05680","apoptosis-inducing factor 2, putative, expressed"
"Os.8043.1.S1_at",-0.00952378847489324,0.00952378847489324,"LOC_Os03g51010","hydrolase, alpha/beta fold family domain containing protein, expressed"
"Os.12802.1.S1_at",0.00952991877067147,0.00952991877067147,"LOC_Os03g56190","cytochrome c oxidase-related, putative, expressed"
"Os.11858.1.S1_at",-0.00952442791135926,0.00952442791135926,"LOC_Os03g58080","BT1 family protein, putative, expressed"
"Os.54163.1.S1_at",-0.00952402376671943,0.00952402376671943,"LOC_Os03g59460","transcription factor, putative, expressed"
"Os.4600.1.S1_at",-0.00953371811606149,0.00953371811606149,"LOC_Os06g33710","spermidine synthase, putative, expressed"
"Os.16635.1.S1_at",-0.00953886807175878,0.00953886807175878,"LOC_Os06g45850","OTU-like cysteine protease family protein, putative, expressed"
"Os.7805.1.S1_a_at",0.0095414343471637,0.0095414343471637,"LOC_Os10g35110","alpha-galactosidase precursor, putative, expressed"
"Os.9526.1.S1_at",0.00952590801907496,0.00952590801907496,"LOC_Os12g06260","harpin-induced protein 1 domain containing protein, expressed"
