locus,protein,t_test,emb_protein_log2fc
LOC_Os03g58840,LOC_Os03g58840.1,0.04,1.09
LOC_Os04g55060,LOC_Os04g55060.1,0.04,1.09
LOC_Os03g55280,LOC_Os03g55280.1,0,1.11
LOC_Os07g40320,LOC_Os07g40320.1,0.02,1.13
LOC_Os01g42520,LOC_Os01g42520.1,0.01,1.14
LOC_Os03g53860,LOC_Os03g53860.1,0.02,1.17
LOC_Os08g34720,LOC_Os08g34720.1,0.04,1.17
LOC_Os01g37800,LOC_Os01g37800.1,0,1.17
LOC_Os05g33380,LOC_Os05g33380.1,0.02,1.18
LOC_Os12g41715,LOC_Os12g41715.1,0.02,1.18
LOC_Os01g55690,LOC_Os01g55690.1,0.05,1.21
LOC_Os08g12820,LOC_Os08g12820.1,0,1.23
LOC_Os01g65790,LOC_Os01g65790.1,0.04,1.25
LOC_Os01g51170,LOC_Os01g51170.1,0,1.28
LOC_Os01g08450,LOC_Os01g08450.1,0.03,1.28
LOC_Os01g24710,LOC_Os01g24710.1,0.02,1.31
LOC_Os03g28160,LOC_Os03g28160.1,0.02,1.32
LOC_Os05g22970,LOC_Os05g22970.1,0.04,1.34
LOC_Os06g05660,LOC_Os06g05660.3,0.02,1.35
LOC_Os07g11630,LOC_Os07g11630.1,0.02,1.35
LOC_Os05g07890,LOC_Os05g07890.1,0,1.37
LOC_Os06g43660,LOC_Os06g43660.1,0.05,1.37
LOC_Os03g50480,LOC_Os03g50480.2,0.02,1.37
LOC_Os02g24330,LOC_Os02g24330.1,0.01,1.38
LOC_Os03g51600,LOC_Os03g51600.1,0,1.4
LOC_Os05g33400,LOC_Os05g33400.1,0,1.43
LOC_Os02g55890,LOC_Os02g55890.1,0.05,1.44
LOC_Os02g50830,LOC_Os02g50830.1,0.03,1.46
LOC_Os06g01390,LOC_Os06g01390.1,0.03,1.49
LOC_Os04g40730,LOC_Os04g40730.1,0,1.56
LOC_Os01g73790,LOC_Os01g73790.1,0,1.6
LOC_Os03g02390,LOC_Os03g02390.1,0.01,1.71
LOC_Os04g35520,LOC_Os04g35520.1,0.05,1.72
LOC_Os02g57540,LOC_Os02g57540.1,0.01,1.73
LOC_Os04g56160,LOC_Os04g56160.1,0.04,1.76
LOC_Os03g63430,LOC_Os03g63430.1,0.02,1.79
LOC_Os08g33710,LOC_Os08g33710.1,0.04,1.8
LOC_Os09g38550,LOC_Os09g38550.1,0.04,1.8
LOC_Os07g01020,LOC_Os07g01020.1,0.04,1.82
LOC_Os01g59150,LOC_Os01g59150.1,0.04,1.83
LOC_Os01g24690,LOC_Os01g24690.1,0.02,1.83
LOC_Os05g35580,LOC_Os05g35580.1,0,1.86
LOC_Os05g02820,LOC_Os05g02820.1,0.02,1.86
LOC_Os04g52130,LOC_Os04g52130.1,0,1.86
LOC_Os02g57640,LOC_Os02g57640.1,0.04,1.87
LOC_Os04g24140,LOC_Os04g24140.1,0.01,1.89
LOC_Os02g32814,LOC_Os02g32814.1,0.01,1.93
LOC_Os07g11310,LOC_Os07g11310.1,0.01,1.94
LOC_Os03g53650,LOC_Os03g53650.2,0.02,1.96
LOC_Os10g41930,LOC_Os10g41930.1,0.01,1.96
LOC_Os12g36880,LOC_Os12g36880.1,0.04,1.98
LOC_Os01g67980,LOC_Os01g67980.1,0.01,2
LOC_Os03g06240,LOC_Os03g06240.1,0.01,2
LOC_Os01g11240,LOC_Os01g11240.1,0.01,2.01
LOC_Os03g10120,LOC_Os03g10120.2,0,2.11
LOC_Os05g29990,LOC_Os05g29990.1,0,2.32
LOC_Os01g58890,LOC_Os01g58890.1,0,2.32
LOC_Os01g16960,LOC_Os01g16960.1,0.01,2.36
LOC_Os05g41480,LOC_Os05g41480.1,0.05,2.39
LOC_Os05g43830,LOC_Os05g43830.2,0.03,2.43
LOC_Os02g50620,LOC_Os02g50620.1,0,2.47
LOC_Os03g55070,LOC_Os03g55070.1,0.01,2.58
LOC_Os07g42490,LOC_Os07g42490.1,0.01,2.87
LOC_Os03g16980,LOC_Os03g16980.1,0,2.92
LOC_Os07g42950,LOC_Os07g42950.1,0.03,3.05
LOC_Os07g10570,LOC_Os07g10570.1,0,3.18
LOC_Os04g52164,LOC_Os04g52164.1,0.02,3.23
LOC_Os07g44550,LOC_Os07g44550.1,0.01,3.32
LOC_Os08g02120,LOC_Os08g02120.1,0.03,3.37
LOC_Os02g41630,LOC_Os02g41630.2,0,3.37
LOC_Os02g49720,LOC_Os02g49720.2,0,3.55
LOC_Os10g23100,LOC_Os10g23100.1,0.03,3.79
LOC_Os08g38900,LOC_Os08g38900.1,0.04,3.84
LOC_Os02g53790,LOC_Os02g53790.1,0.03,3.99
LOC_Os12g36830,LOC_Os12g36830.1,0.05,4
LOC_Os01g41610,LOC_Os01g41610.1,0.04,4.18
LOC_Os04g55650,LOC_Os04g55650.1,0.02,5.53
LOC_Os10g38950,LOC_Os10g38950.1,0.05,0.55
LOC_Os04g56070,LOC_Os04g56070.1,0.05,0.61
LOC_Os11g26780,LOC_Os11g26780.1,0.05,-0.82
LOC_Os06g43840,LOC_Os06g43840.1,0.05,1.11
LOC_Os03g50090,LOC_Os03g50090.1,0.05,-0.87
LOC_Os02g21250,LOC_Os02g21250.1,0.05,0.6
LOC_Os04g57590,LOC_Os04g57590.1,0.05,-1.13
LOC_Os01g70950,LOC_Os01g70950.1,0.05,-1.15
LOC_Os03g09020,LOC_Os03g09020.1,0.05,-0.94
LOC_Os05g11910,LOC_Os05g11910.1,0.05,1.59
LOC_Os05g35320,LOC_Os05g35320.1,0.05,-0.91
LOC_Os04g42600,LOC_Os04g42600.1,0.05,-0.78
LOC_Os01g16090,LOC_Os01g16090.1,0.05,-0.59
LOC_Os03g27280,LOC_Os03g27280.1,0.05,-0.81
LOC_Os03g59060,LOC_Os03g59060.1,0.05,0.8
LOC_Os12g18880,LOC_Os12g18880.1,0.05,1.08
LOC_Os12g41190,LOC_Os12g41190.1,0.05,1.3
LOC_Os03g19250,LOC_Os03g19250.1,0.05,1.89
LOC_Os05g27940,LOC_Os05g27940.1,0.05,-0.73
LOC_Os01g23740,LOC_Os01g23740.1,0.05,0.85
LOC_Os01g66940,LOC_Os01g66940.1,0.05,1.12
LOC_Os06g11190,LOC_Os06g11190.1,0.05,-0.59
LOC_Os04g58280,LOC_Os04g58280.2,0.05,-1.38
LOC_Os01g61380,LOC_Os01g61380.1,0.05,0.79
LOC_Os08g34150,LOC_Os08g34150.1,0.05,2.4
LOC_Os05g39690,LOC_Os05g39690.1,0.06,-1.25
LOC_Os11g34190,LOC_Os11g34190.1,0.06,-0.88
LOC_Os09g37020,LOC_Os09g37020.1,0.06,-1
LOC_Os04g48410,LOC_Os04g48410.1,0.06,0.81
LOC_Os04g12980,LOC_Os04g12980.1,0.06,-0.91
LOC_Os07g26610,LOC_Os07g26610.2,0.06,-0.3
LOC_Os10g37230,LOC_Os10g37230.1,0.06,3.03
LOC_Os01g66720,LOC_Os01g66720.1,0.06,-0.79
LOC_Os08g44290,LOC_Os08g44290.1,0.06,0.7
LOC_Os03g28330,LOC_Os03g28330.1,0.06,4.58
LOC_Os01g05010,LOC_Os01g05010.1,0.06,1.23
LOC_Os07g48960,LOC_Os07g48960.1,0.06,1.19
LOC_Os02g57180,LOC_Os02g57180.1,0.06,-0.39
LOC_Os03g56800,LOC_Os03g56800.1,0.06,-0.61
LOC_Os07g10580,LOC_Os07g10580.1,0.06,1.89
LOC_Os03g58130,LOC_Os03g58130.1,0.06,1.39
LOC_Os12g29400,LOC_Os12g29400.1,0.06,-0.62
LOC_Os07g31270,LOC_Os07g31270.1,0.06,-0.44
LOC_Os09g33810,LOC_Os09g33810.1,0.06,1.64
LOC_Os03g06220,LOC_Os03g06220.1,0.06,-0.57
LOC_Os11g09280,LOC_Os11g09280.1,0.06,-0.36
LOC_Os03g21810,LOC_Os03g21810.1,0.06,1.27
LOC_Os12g34018,LOC_Os12g34018.1,0.06,-0.57
LOC_Os12g43600,LOC_Os12g43600.1,0.06,1.15
LOC_Os01g66500,LOC_Os01g66500.1,0.06,-0.69
LOC_Os12g03880,LOC_Os12g03880.1,0.06,-0.66
LOC_Os02g52150,LOC_Os02g52150.1,0.06,0.95
LOC_Os10g06720,LOC_Os10g06720.1,0.07,-0.58
LOC_Os10g28200,LOC_Os10g28200.1,0.07,0.77
LOC_Os01g43090,LOC_Os01g43090.1,0.07,-0.54
LOC_Os05g03480,LOC_Os05g03480.2,0.07,0.73
LOC_Os01g18170,LOC_Os01g18170.1,0.07,1.37
LOC_Os03g22740,LOC_Os03g22740.1,0.07,0.92
LOC_Os08g43560,LOC_Os08g43560.1,0.07,1.37
LOC_Os12g36180,LOC_Os12g36180.1,0.07,1.2
LOC_Os02g07760,LOC_Os02g07760.1,0.07,-0.75
LOC_Os04g19740,LOC_Os04g19740.1,0.07,-0.95
LOC_Os12g07260,LOC_Os12g07260.1,0.07,-0.79
LOC_Os06g51250,LOC_Os06g51250.1,0.07,1.09
LOC_Os05g48620,LOC_Os05g48620.1,0.07,2.23
LOC_Os12g38110,LOC_Os12g38110.1,0.07,0.8
LOC_Os02g36600,LOC_Os02g36600.1,0.07,-0.38
LOC_Os02g15150,LOC_Os02g15150.1,0.07,0.88
LOC_Os02g04040,LOC_Os02g04040.1,0.07,-0.78
LOC_Os12g37650,LOC_Os12g37650.1,0.07,4.21
LOC_Os03g62420,LOC_Os03g62420.1,0.07,1.56
LOC_Os07g44740,LOC_Os07g44740.1,0.07,-0.74
LOC_Os02g42230,LOC_Os02g42230.1,0.07,-1.22
LOC_Os02g32860,LOC_Os02g32860.1,0.07,-0.89
LOC_Os03g56460,LOC_Os03g56460.1,0.07,-0.82
LOC_Os03g06200,LOC_Os03g06200.1,0.07,1.31
LOC_Os06g04510,LOC_Os06g04510.2,0.07,-0.51
LOC_Os01g32660,LOC_Os01g32660.1,0.07,0.79
LOC_Os03g16690,LOC_Os03g16690.1,0.07,0.7
LOC_Os03g03830,LOC_Os03g03830.1,0.07,0.75
LOC_Os03g17470,LOC_Os03g17470.1,0.07,1.17
LOC_Os07g29760,LOC_Os07g29760.1,0.07,-2.47
LOC_Os01g06660,LOC_Os01g06660.1,0.07,-0.89
LOC_Os04g58640,LOC_Os04g58640.1,0.07,-0.71
LOC_Os05g46560,LOC_Os05g46560.1,0.07,0.75
LOC_Os03g55150,LOC_Os03g55150.1,0.07,0.31
LOC_Os05g42350,LOC_Os05g42350.1,0.07,0.36
LOC_Os03g63860,LOC_Os03g63860.1,0.08,0.94
LOC_Os08g40830,LOC_Os08g40830.1,0.08,-1.12
LOC_Os04g38870,LOC_Os04g38870.1,0.08,1.71
LOC_Os08g36320,LOC_Os08g36320.2,0.08,-0.76
LOC_Os02g03470,LOC_Os02g03470.1,0.08,-1.18
LOC_Os01g48960,LOC_Os01g48960.1,0.08,0.76
LOC_Os07g36420,LOC_Os07g36420.1,0.08,-1.24
LOC_Os03g51250,LOC_Os03g51250.1,0.08,0.85
LOC_Os10g17489,LOC_Os10g17489.1,0.08,1.18
LOC_Os10g22070,LOC_Os10g22070.1,0.08,2.71
LOC_Os01g08860,LOC_Os01g08860.1,0.08,0.61
LOC_Os02g04660,LOC_Os02g04660.1,0.08,-0.36
LOC_Os02g13130,LOC_Os02g13130.1,0.08,-0.92
LOC_Os01g38620,LOC_Os01g38620.1,0.08,-0.43
LOC_Os02g58490,LOC_Os02g58490.1,0.08,-0.83
LOC_Os08g33460,LOC_Os08g33460.1,0.08,-0.59
LOC_Os02g43010,LOC_Os02g43010.1,0.08,-0.92
LOC_Os06g51410,LOC_Os06g51410.1,0.08,-1.05
LOC_Os06g27800,LOC_Os06g27800.1,0.08,-0.65
LOC_Os01g62244,LOC_Os01g62244.1,0.08,1.43
LOC_Os01g23610,LOC_Os01g23610.1,0.08,-0.74
LOC_Os03g18850,LOC_Os03g18850.1,0.08,1.1
LOC_Os05g01820,LOC_Os05g01820.1,0.08,1.3
LOC_Os05g51830,LOC_Os05g51830.1,0.08,1.45
LOC_Os11g26790,LOC_Os11g26790.1,0.08,-1.64
LOC_Os01g15600,LOC_Os01g15600.1,0.08,-0.33
LOC_Os01g45274,LOC_Os01g45274.1,0.08,1.17
LOC_Os12g31800,LOC_Os12g31800.1,0.08,0.75
LOC_Os11g08100,LOC_Os11g08100.1,0.08,-0.94
LOC_Os12g37960,LOC_Os12g37960.1,0.08,1.07
LOC_Os01g60740,LOC_Os01g60740.1,0.08,-0.67
LOC_Os04g57810,LOC_Os04g57810.1,0.08,1.21
LOC_Os08g43640,LOC_Os08g43640.1,0.08,1.34
LOC_Os08g23810,LOC_Os08g23810.1,0.09,-1.42
LOC_Os01g50910,LOC_Os01g50910.1,0.09,-1.67
LOC_Os09g14670,LOC_Os09g14670.1,0.09,-0.87
LOC_Os06g11320,LOC_Os06g11320.1,0.09,1.55
LOC_Os02g15169,LOC_Os02g15169.1,0.09,0.92
LOC_Os12g42090,LOC_Os12g42090.2,0.09,-0.92
LOC_Os03g59380,LOC_Os03g59380.1,0.09,-1
LOC_Os01g72430,LOC_Os01g72430.1,0.09,-1.21
LOC_Os04g06770,LOC_Os04g06770.1,0.09,-0.76
LOC_Os03g07840,LOC_Os03g07840.1,0.09,0.73
LOC_Os03g59290,LOC_Os03g59290.1,0.09,-0.52
LOC_Os06g09450,LOC_Os06g09450.1,0.09,5.43
LOC_Os01g65380,LOC_Os01g65380.1,0.09,1.97
LOC_Os07g02210,LOC_Os07g02210.1,0.09,0.48
LOC_Os08g04460,LOC_Os08g04460.1,0.09,1
LOC_Os12g02310,LOC_Os12g02310.1,0.09,-1.56
LOC_Os07g04240,LOC_Os07g04240.1,0.09,-0.63
LOC_Os03g02050,LOC_Os03g02050.1,0.09,-0.8
LOC_Os11g24610,LOC_Os11g24610.1,0.09,-0.69
LOC_Os02g39350,LOC_Os02g39350.1,0.09,-0.3
LOC_Os03g61990,LOC_Os03g61990.1,0.1,0.67
LOC_Os05g36000,LOC_Os05g36000.1,0.1,-0.86
LOC_Os04g42000,LOC_Os04g42000.1,0.1,-0.64
LOC_Os11g05562,LOC_Os11g05562.1,0.1,1.04
LOC_Os02g52880,LOC_Os02g52880.1,0.1,-0.62
LOC_Os04g32470,LOC_Os04g32470.1,0.1,-0.6
LOC_Os04g59150,LOC_Os04g59150.1,0.1,1.73
LOC_Os04g40660,LOC_Os04g40660.1,0.1,-0.47
LOC_Os04g53230,LOC_Os04g53230.1,0.1,-0.96
LOC_Os01g04730,LOC_Os01g04730.1,0.1,0.69
LOC_Os05g44760,LOC_Os05g44760.1,0.1,0.61
LOC_Os03g21950,LOC_Os03g21950.1,0.1,1.07
LOC_Os01g54870,LOC_Os01g54870.1,0.1,-0.57
LOC_Os05g38150,LOC_Os05g38150.1,0.1,-0.94
LOC_Os08g23870,LOC_Os08g23870.1,0.1,-1.57
LOC_Os12g14930,LOC_Os12g14930.1,0.1,0.49
LOC_Os04g59260,LOC_Os04g59260.1,0.1,1.26
LOC_Os03g16800,LOC_Os03g16800.1,0.1,1.52
LOC_Os01g14950,LOC_Os01g14950.1,0.1,0.88
LOC_Os03g21490,LOC_Os03g21490.1,0.1,1.49
LOC_Os07g11510,LOC_Os07g11510.1,0.1,0.77
LOC_Os07g31300,LOC_Os07g31300.1,0.1,0.94
LOC_Os01g61920,LOC_Os01g61920.1,0.11,0.85
LOC_Os12g05110,LOC_Os12g05110.1,0.11,0.76
LOC_Os02g02020,LOC_Os02g02020.1,0.11,-0.82
LOC_Os01g58750,LOC_Os01g58750.1,0.11,-0.23
LOC_Os03g08810,LOC_Os03g08810.1,0.11,1.35
LOC_Os05g47470,LOC_Os05g47470.1,0.11,0.89
LOC_Os10g34370,LOC_Os10g34370.1,0.11,-0.54
LOC_Os07g39620,LOC_Os07g39620.1,0.11,0.7
LOC_Os02g52040,LOC_Os02g52040.1,0.11,0.85
LOC_Os07g49520,LOC_Os07g49520.1,0.11,-0.74
LOC_Os07g34640,LOC_Os07g34640.1,0.11,0.66
LOC_Os06g40600,LOC_Os06g40600.1,0.11,-0.78
LOC_Os01g34480,LOC_Os01g34480.1,0.11,0.84
LOC_Os03g50290,LOC_Os03g50290.1,0.11,0.98
LOC_Os04g32020,LOC_Os04g32020.1,0.11,-0.71
LOC_Os01g32080,LOC_Os01g32080.1,0.11,-0.77
LOC_Os09g02284,LOC_Os09g02284.1,0.11,-0.69
LOC_Os02g47940,LOC_Os02g47940.1,0.11,-0.61
LOC_Os05g46430,LOC_Os05g46430.1,0.11,3.09
LOC_Os05g34170,LOC_Os05g34170.2,0.11,0.32
LOC_Os01g38970,LOC_Os01g38970.1,0.11,0.51
LOC_Os03g04960,LOC_Os03g04960.1,0.11,0.33
LOC_Os02g38920,LOC_Os02g38920.1,0.12,-0.33
LOC_Os06g46340,LOC_Os06g46340.1,0.12,3.2
LOC_Os03g50040,LOC_Os03g50040.1,0.12,1.31
LOC_Os04g40080,LOC_Os04g40080.1,0.12,-0.68
LOC_Os04g02820,LOC_Os04g02820.1,0.12,-0.71
LOC_Os05g49050,LOC_Os05g49050.1,0.12,-0.78
LOC_Os01g13190,LOC_Os01g13190.1,0.12,1.43
LOC_Os05g46230,LOC_Os05g46230.1,0.12,0.69
LOC_Os06g21980,LOC_Os06g21980.1,0.12,0.59
LOC_Os05g50480,LOC_Os05g50480.1,0.12,1.17
LOC_Os02g55440,LOC_Os02g55440.1,0.12,1.62
LOC_Os01g47660,LOC_Os01g47660.1,0.12,-0.88
LOC_Os05g08970,LOC_Os05g08970.1,0.12,-0.58
LOC_Os05g35710,LOC_Os05g35710.1,0.12,0.55
LOC_Os04g55720,LOC_Os04g55720.1,0.12,0.97
LOC_Os02g14770,LOC_Os02g14770.1,0.12,-0.64
LOC_Os05g06460,LOC_Os05g06460.1,0.12,-0.86
LOC_Os11g32260,LOC_Os11g32260.1,0.12,-0.55
LOC_Os08g30790,LOC_Os08g30790.1,0.12,-0.71
LOC_Os10g30580,LOC_Os10g30580.2,0.12,-0.3
LOC_Os11g05110,LOC_Os11g05110.1,0.12,0.63
LOC_Os03g59020,LOC_Os03g59020.1,0.12,-0.43
LOC_Os05g05950,LOC_Os05g05950.1,0.12,-0.65
LOC_Os07g40580,LOC_Os07g40580.1,0.12,0.5
LOC_Os02g02870,LOC_Os02g02870.1,0.12,0.96
LOC_Os04g46620,LOC_Os04g46620.1,0.12,-0.27
LOC_Os04g40850,LOC_Os04g40850.1,0.12,0.73
LOC_Os03g56790,LOC_Os03g56790.1,0.12,0.74
LOC_Os01g09460,LOC_Os01g09460.1,0.12,1.08
LOC_Os10g26060,LOC_Os10g26060.1,0.12,1.06
LOC_Os01g71540,LOC_Os01g71540.2,0.13,-0.78
LOC_Os07g31540,LOC_Os07g31540.1,0.13,0.88
LOC_Os06g04280,LOC_Os06g04280.1,0.13,0.87
LOC_Os09g29404,LOC_Os09g29404.1,0.13,-0.7
LOC_Os02g44520,LOC_Os02g44520.1,0.13,-0.49
LOC_Os03g16440,LOC_Os03g16440.1,0.13,-0.51
LOC_Os05g45660,LOC_Os05g45660.2,0.13,1.2
LOC_Os04g20230,LOC_Os04g20230.1,0.13,1
LOC_Os01g03510,LOC_Os01g03510.1,0.13,-0.65
LOC_Os08g42040,LOC_Os08g42040.1,0.13,1.51
LOC_Os02g47590,LOC_Os02g47590.1,0.13,-0.95
LOC_Os12g37590,LOC_Os12g37590.1,0.13,0.8
LOC_Os05g49800,LOC_Os05g49800.1,0.13,0.46
LOC_Os11g05170,LOC_Os11g05170.1,0.13,-1.26
LOC_Os09g24260,LOC_Os09g24260.1,0.13,0.81
LOC_Os12g08170,LOC_Os12g08170.1,0.13,-0.75
LOC_Os10g31810,LOC_Os10g31810.1,0.13,1.16
LOC_Os05g06280,LOC_Os05g06280.1,0.13,0.81
LOC_Os06g36700,LOC_Os06g36700.1,0.13,-0.67
LOC_Os02g16820,LOC_Os02g16820.1,0.13,1.13
LOC_Os12g41250,LOC_Os12g41250.1,0.14,-0.75
LOC_Os02g58340,LOC_Os02g58340.1,0.14,-0.42
LOC_Os03g20680,LOC_Os03g20680.1,0.14,-0.66
LOC_Os03g22120,LOC_Os03g22120.1,0.14,-0.81
LOC_Os08g15040,LOC_Os08g15040.1,0.14,0.35
LOC_Os05g48810,LOC_Os05g48810.1,0.14,-1.31
LOC_Os07g11360,LOC_Os07g11360.1,0.14,1.07
LOC_Os10g21268,LOC_Os10g21268.1,0.14,-0.62
LOC_Os03g27290,LOC_Os03g27290.1,0.14,0.63
LOC_Os11g04670,LOC_Os11g04670.1,0.14,-0.73
LOC_Os03g27010,LOC_Os03g27010.1,0.14,0.86
LOC_Os02g39930,LOC_Os02g39930.1,0.14,2.23
LOC_Os08g29160,LOC_Os08g29160.1,0.14,-0.57
LOC_Os04g39420,LOC_Os04g39420.1,0.14,-0.53
LOC_Os05g28510,LOC_Os05g28510.1,0.14,0.92
LOC_Os02g09150,LOC_Os02g09150.1,0.14,0.8
LOC_Os05g28210,LOC_Os05g28210.1,0.14,-1.28
LOC_Os01g21940,LOC_Os01g21940.1,0.14,0.83
LOC_Os09g37000,LOC_Os09g37000.1,0.14,1
LOC_Os02g05310,LOC_Os02g05310.1,0.15,-0.42
LOC_Os01g60790,LOC_Os01g60790.1,0.15,-0.8
LOC_Os06g35520,LOC_Os06g35520.1,0.15,4.85
LOC_Os01g16900,LOC_Os01g16900.1,0.15,-0.57
LOC_Os11g01300,LOC_Os11g01300.1,0.15,1.31
LOC_Os10g31950,LOC_Os10g31950.1,0.15,0.89
LOC_Os01g16110,LOC_Os01g16110.1,0.15,0.85
LOC_Os05g41510,LOC_Os05g41510.1,0.15,-0.6
LOC_Os11g26910,LOC_Os11g26910.1,0.15,1.06
LOC_Os09g36800,LOC_Os09g36800.1,0.15,0.22
LOC_Os02g57760,LOC_Os02g57760.1,0.15,-0.86
LOC_Os03g21720,LOC_Os03g21720.1,0.15,-0.82
LOC_Os04g51630,LOC_Os04g51630.1,0.15,0.73
LOC_Os01g23620,LOC_Os01g23620.1,0.15,0.59
LOC_Os03g13800,LOC_Os03g13800.1,0.15,1.14
LOC_Os07g46170,LOC_Os07g46170.1,0.15,1.89
LOC_Os03g01910,LOC_Os03g01910.1,0.15,0.59
LOC_Os08g43060,LOC_Os08g43060.1,0.15,0.84
LOC_Os02g54470,LOC_Os02g54470.1,0.15,0.62
LOC_Os03g44660,LOC_Os03g44660.1,0.15,-0.26
LOC_Os03g48260,LOC_Os03g48260.1,0.15,0.67
LOC_Os05g38950,LOC_Os05g38950.1,0.15,-0.57
LOC_Os03g44620,LOC_Os03g44620.2,0.15,1.86
LOC_Os04g46960,LOC_Os04g46960.2,0.16,0.56
LOC_Os02g52250,LOC_Os02g52250.1,0.16,-0.4
LOC_Os02g30180,LOC_Os02g30180.1,0.16,0.26
LOC_Os03g27260,LOC_Os03g27260.1,0.16,1.27
LOC_Os02g04670,LOC_Os02g04670.1,0.16,0.48
LOC_Os05g48750,LOC_Os05g48750.1,0.16,-0.51
LOC_Os08g01930,LOC_Os08g01930.1,0.16,-0.6
LOC_Os12g08280,LOC_Os12g08280.1,0.16,-0.7
LOC_Os05g33130,LOC_Os05g33130.1,0.16,-0.96
LOC_Os04g42930,LOC_Os04g42930.1,0.16,-0.47
LOC_Os07g11650,LOC_Os07g11650.1,0.16,0.63
LOC_Os10g42230,LOC_Os10g42230.1,0.16,-0.45
LOC_Os11g32240,LOC_Os11g32240.1,0.16,1.36
LOC_Os10g11140,LOC_Os10g11140.1,0.16,-0.66
LOC_Os08g08960,LOC_Os08g08960.1,0.16,-0.44
LOC_Os01g62420,LOC_Os01g62420.1,0.16,0.76
LOC_Os07g07410,LOC_Os07g07410.1,0.16,-0.55
LOC_Os01g16290,LOC_Os01g16290.1,0.16,-0.46
LOC_Os05g51500,LOC_Os05g51500.1,0.17,1.06
LOC_Os02g46130,LOC_Os02g46130.1,0.17,-0.77
LOC_Os06g05880,LOC_Os06g05880.1,0.17,0.42
LOC_Os09g26380,LOC_Os09g26380.1,0.17,-0.67
LOC_Os11g09329,LOC_Os11g09329.1,0.17,0.98
LOC_Os06g09688,LOC_Os06g09688.1,0.17,0.84
LOC_Os02g03730,LOC_Os02g03730.1,0.17,-0.52
LOC_Os03g62110,LOC_Os03g62110.2,0.17,-0.17
LOC_Os01g19770,LOC_Os01g19770.1,0.17,-0.39
LOC_Os01g21560,LOC_Os01g21560.1,0.17,0.95
LOC_Os04g50890,LOC_Os04g50890.1,0.17,1.93
LOC_Os07g46480,LOC_Os07g46480.1,0.17,-0.59
LOC_Os09g33480,LOC_Os09g33480.1,0.17,0.51
LOC_Os12g29550,LOC_Os12g29550.1,0.17,-0.62
LOC_Os08g32870,LOC_Os08g32870.1,0.17,-0.4
LOC_Os11g36060,LOC_Os11g36060.1,0.17,-0.51
LOC_Os02g27950,LOC_Os02g27950.1,0.17,-0.64
LOC_Os01g61814,LOC_Os01g61814.1,0.17,0.68
LOC_Os07g37750,LOC_Os07g37750.1,0.17,0.74
LOC_Os02g55060,LOC_Os02g55060.1,0.17,-0.45
LOC_Os06g44080,LOC_Os06g44080.1,0.17,-0.26
LOC_Os08g23150,LOC_Os08g23150.1,0.17,-0.66
LOC_Os02g58510,LOC_Os02g58510.1,0.17,-0.62
LOC_Os02g36974,LOC_Os02g36974.1,0.18,0.91
LOC_Os01g07910,LOC_Os01g07910.1,0.18,-0.91
LOC_Os04g53440,LOC_Os04g53440.1,0.18,-0.58
LOC_Os01g25610,LOC_Os01g25610.1,0.18,0.62
LOC_Os03g05730,LOC_Os03g05730.1,0.18,-0.67
LOC_Os10g22380,LOC_Os10g22380.1,0.18,-0.36
LOC_Os06g13720,LOC_Os06g13720.1,0.18,0.49
LOC_Os12g42550,LOC_Os12g42550.1,0.18,-0.68
LOC_Os01g12560,LOC_Os01g12560.1,0.18,0.77
LOC_Os08g44480,LOC_Os08g44480.1,0.18,0.78
LOC_Os01g10820,LOC_Os01g10820.1,0.18,-0.73
LOC_Os06g04200,LOC_Os06g04200.1,0.18,0.58
LOC_Os01g71090,LOC_Os01g71090.1,0.18,0.38
LOC_Os03g57690,LOC_Os03g57690.1,0.18,-0.42
LOC_Os03g36730,LOC_Os03g36730.1,0.18,1
LOC_Os09g04790,LOC_Os09g04790.1,0.18,-0.8
LOC_Os03g21040,LOC_Os03g21040.2,0.18,-0.44
LOC_Os12g07820,LOC_Os12g07820.1,0.18,1.01
LOC_Os01g73514,LOC_Os01g73514.1,0.18,-0.45
LOC_Os03g40310,LOC_Os03g40310.1,0.18,0.71
LOC_Os07g02200,LOC_Os07g02200.1,0.18,1
LOC_Os08g06020,LOC_Os08g06020.1,0.18,0.86
LOC_Os03g18180,LOC_Os03g18180.1,0.18,0.86
LOC_Os03g19290,LOC_Os03g19290.1,0.18,-0.71
LOC_Os07g34520,LOC_Os07g34520.1,0.18,2.14
LOC_Os11g10750,LOC_Os11g10750.1,0.18,-0.59
LOC_Os02g04480,LOC_Os02g04480.1,0.18,-0.79
LOC_Os07g31340,LOC_Os07g31340.1,0.18,-0.51
LOC_Os05g44360,LOC_Os05g44360.1,0.18,0.62
LOC_Os03g05260,LOC_Os03g05260.1,0.18,1.04
LOC_Os01g62290,LOC_Os01g62290.1,0.18,-0.33
LOC_Os01g68750,LOC_Os01g68750.1,0.19,0.56
LOC_Os08g10570,LOC_Os08g10570.1,0.19,-0.6
LOC_Os01g37837,LOC_Os01g37837.1,0.19,0.92
LOC_Os01g64680,LOC_Os01g64680.1,0.19,1.13
LOC_Os01g62650,LOC_Os01g62650.1,0.19,-0.63
LOC_Os12g41220,LOC_Os12g41220.1,0.19,0.88
LOC_Os03g02150,LOC_Os03g02150.1,0.19,0.62
LOC_Os05g48960,LOC_Os05g48960.1,0.19,-0.83
